,lat,tilt (all),tilt (northern hemisphere),tilt (europe)
0,-90,-71.223589,,
1,-89,-70.43395146,,
2,-88,-69.64431392,,
3,-87,-68.85467638,,
4,-86,-68.06503884,,
5,-85,-67.2754013,,
6,-84,-66.48576376,,
7,-83,-65.69612622000001,,
8,-82,-64.90648868000001,,
9,-81,-64.11685114,,
10,-80,-63.3272136,,
11,-79,-62.53757606,,
12,-78,-61.74793852,,
13,-77,-60.95830098,,
14,-76,-60.168663439999996,,
15,-75,-59.379025899999995,,
16,-74,-58.589388359999994,,
17,-73,-57.79975082,,
18,-72,-57.01011328,,
19,-71,-56.22047574,,
20,-70,-55.4308382,,
21,-69,-54.641200659999996,,
22,-68,-53.851563119999994,,
23,-67,-53.06192558,,
24,-66,-52.27228804,,
25,-65,-51.4826505,,
26,-64,-50.69301296,,
27,-63,-49.903375419999996,,
28,-62,-49.113737879999995,,
29,-61,-48.324100339999994,,
30,-60,-47.5344628,,
31,-59,-46.74482526,,
32,-58,-45.95518772,,
33,-57,-45.16555018,,
34,-56,-44.375912639999996,,
35,-55,-43.586275099999995,,
36,-54,-42.79663756,,
37,-53,-42.00700002,,
38,-52,-41.21736248,,
39,-51,-40.42772494,,
40,-50,-39.638087399999996,,
41,-49,-38.848449859999995,,
42,-48,-38.058812319999994,,
43,-47,-37.26917478,,
44,-46,-36.47953724,,
45,-45,-35.6898997,,
46,-44,-34.90026216,,
47,-43,-34.110624619999996,,
48,-42,-33.320987079999995,,
49,-41,-32.53134954,,
50,-40,-31.741712,,
51,-39,-30.95207446,,
52,-38,-30.162436919999998,,
53,-37,-29.372799379999996,,
54,-36,-28.58316184,,
55,-35,-27.793524299999998,,
56,-34,-27.003886759999997,,
57,-33,-26.21424922,,
58,-32,-25.424611679999998,,
59,-31,-24.634974139999997,,
60,-30,-23.8453366,,
61,-29,-23.05569906,,
62,-28,-22.266061519999997,,
63,-27,-21.47642398,,
64,-26,-20.68678644,,
65,-25,-19.897148899999998,,
66,-24,-19.107511359999997,,
67,-23,-18.31787382,,
68,-22,-17.528236279999998,,
69,-21,-16.738598739999997,,
70,-20,-15.948961200000001,,
71,-19,-15.15932366,,
72,-18,-14.36968612,,
73,-17,-13.58004858,,
74,-16,-12.79041104,,
75,-15,-12.000773500000001,,
76,-14,-11.21113596,,
77,-13,-10.42149842,,
78,-12,-9.63186088,,
79,-11,-8.84222334,,
80,-10,-8.052585800000001,,
81,-9,-7.26294826,,
82,-8,-6.47331072,,
83,-7,-5.6836731799999995,,
84,-6,-4.894035639999999,,
85,-5,-4.1043981,,
86,-4,-3.31476056,,
87,-3,-2.5251230199999997,,
88,-2,-1.73548548,,
89,-1,-0.9458479399999999,,
90,0,-0.1562104,,
91,1,0.63342714,6.30928841,18.63509616
92,2,1.42306468,6.92892956,18.952557539999997
93,3,2.2127022199999997,7.54857071,19.27001892
94,4,3.00233976,8.16821186,19.5874803
95,5,3.7919773,8.78785301,19.90494168
96,6,4.581614839999999,9.407494159999999,20.222403059999998
97,7,5.37125238,10.02713531,20.53986444
98,8,6.16088992,10.64677646,20.85732582
99,9,6.95052746,11.26641761,21.174787199999997
100,10,7.740165,11.886058760000001,21.49224858
101,11,8.529802539999999,12.50569991,21.80970996
102,12,9.319440079999998,13.12534106,22.12717134
103,13,10.109077619999999,13.74498221,22.444632719999998
104,14,10.898715159999998,14.36462336,22.7620941
105,15,11.6883527,14.98426451,23.07955548
106,16,12.477990239999999,15.603905659999999,23.39701686
107,17,13.267627779999998,16.22354681,23.71447824
108,18,14.057265319999999,16.843187959999998,24.03193962
109,19,14.846902859999998,17.46282911,24.349401
110,20,15.6365404,18.08247026,24.666862379999998
111,21,16.42617794,18.70211141,24.98432376
112,22,17.21581548,19.32175256,25.30178514
113,23,18.00545302,19.94139371,25.619246519999997
114,24,18.79509056,20.56103486,25.9367079
115,25,19.5847281,21.18067601,26.25416928
116,26,20.37436564,21.80031716,26.571630659999997
117,27,21.16400318,22.419958310000002,26.88909204
118,28,21.95364072,23.03959946,27.20655342
119,29,22.74327826,23.65924061,27.5240148
120,30,23.5329158,24.27888176,27.84147618
121,31,24.32255334,24.89852291,28.15893756
122,32,25.11219088,25.51816406,28.47639894
123,33,25.90182842,26.13780521,28.79386032
124,34,26.69146596,26.75744636,29.111321699999998
125,35,27.4811035,27.37708751,29.42878308
126,36,28.27074104,27.99672866,29.74624446
127,37,29.06037858,28.61636981,30.063705839999997
128,38,29.85001612,29.23601096,30.381167220000002
129,39,30.63965366,29.85565211,30.6986286
130,40,31.4292912,30.47529326,31.01608998
131,41,32.21892874,31.09493441,31.33355136
132,42,33.00856628,31.71457556,31.65101274
133,43,33.79820382,32.33421671,31.96847412
134,44,34.58784136,32.95385786,32.2859355
135,45,35.3774789,33.57349901,32.60339688
136,46,36.16711644,34.19314016,32.92085826
137,47,36.95675398,34.81278131,33.23831964
138,48,37.746391519999996,35.43242246,33.55578102
139,49,38.53602906,36.05206361,33.873242399999995
140,50,39.3256666,36.67170476,34.19070378
141,51,40.11530414,37.29134591,34.508165160000004
142,52,40.90494168,37.91098706,34.82562654
143,53,41.69457922,38.530628209999996,35.14308792
144,54,42.48421676,39.15026936,35.4605493
145,55,43.273854299999996,39.76991051,35.77801068
146,56,44.06349184,40.38955166,36.09547206
147,57,44.85312938,41.00919281,36.41293344
148,58,45.64276692,41.62883396,36.73039482
149,59,46.43240446,42.24847511,37.0478562
150,60,47.222042,42.86811626,37.365317579999996
151,61,48.011679539999996,43.48775741,37.68277896
